title	author	arxiv	type
A State-independent and Time-evolving Network with Applications to Early Rumor Detection	Rui Xia, Kaizhou Xuan and Jianfei Yu	N/A	long
A Supervised Word Alignment Method based on Cross-Language Span Prediction using Multilingual BERT	Masaaki Nagata, Katsuki Chousa and Masaaki Nishino	https://arxiv.org/abs/2004.14516	long
A Synset Relation-enhanced Framework with a Try-again Mechanism for Word Sense Disambiguation	Ming Wang and Yinglin Wang	N/A	long
A Time-Aware Transformer based model for Suicide Ideation Detection on Social Media	Ramit Sawhney, Harshit Joshi, Saumya Gandhi and Rajiv Ratn Shah	N/A	long
A Visually-grounded First-person Dialogue Dataset with Verbal and Non-verbal Responses	Hisashi Kamezawa, Noriki Nishida, Nobuyuki Shimizu, Takashi Miyazaki and Hideki Nakayama	N/A	long
Accurate Word Alignment Induction from Neural Machine Translation	Yun Chen, Yang Liu, Guanhua Chen, Xin Jiang and Qun Liu	https://arxiv.org/abs/2004.14837	long
Acrostic Poem Generation	Rajat Agarwal and Katharina Kann	N/A	long
Active Learning for BERT: An Empirical Study	Liat Ein-Dor, Alon Halfon, Ariel Gera, Eyal Shnarch, Lena Dankin, Leshem Choshen, Marina Danilevsky, Ranit Aharonov, Yoav Katz and Noam Slonim	https://arxiv.org/abs/2001.09219	long
Adaptive Attentional Network for Few-Shot Knowledge Graph Completion	Jiawei Sheng, Shu Guo, Zhenyu Chen, Juwei Yue, Lihong Wang, Tingwen Liu and Hongbo Xu	N/A	long
Adversarial Attack and Defense of Structured Prediction Models	Wenjuan Han, Liwen Zhang, Yong Jiang and Kewei Tu	https://arxiv.org/abs/2010.01610	long
Adversarial Self-Supervised Data Free Distillation for Text Classification	Xinyin Ma, Yongliang Shen, Gongfan Fang, Chen Chen, Chenghao Jia and Weiming Lu	https://arxiv.org/abs/2010.04883	long
Adversarial Semantic Collisions	Congzheng Song, Alexander Rush and Vitaly Shmatikov	N/A	long
Affective Event Classification with Discourse-enhanced Self-training	Yuan Zhuang, Tianyu Jiang and Ellen Riloff	N/A	long
ALICE: Active Learning with Contrastive Natural Language Explanations	Weixin Liang, James Zou and Zhou Yu	https://arxiv.org/abs/2009.10259	long
Alignment-free Cross-lingual Semantic Role Labeling	Rui Cai and Mirella Lapata	https://arxiv.org/pdf/1401.5694	long
Amalgamating Knowledge from Two Teachers for Task-oriented Dialogue System with Adversarial Training	Wanwei He, Min Yang, Rui Yan, Chengming Li, Ying Shen and Ruifeng Xu	N/A	long
AmbigQA: Answering Ambiguous Open-domain Questions	Sewon Min, Julian Michael, Hannaneh Hajishirzi and Luke Zettlemoyer	https://arxiv.org/abs/2004.10645	long
An Analysis of Natural Language Inference Benchmarks through the Lens of Negation	Md Mosharaf Hossain, Venelin Kovatchev, Pranoy Dutta, Tiffany Kao, Elizabeth Wei and Eduardo Blanco	https://arxiv.org/pdf/1804.07461	long
An Effective Data Augmentation Method for Low-resource Tagging Tasks	BOSHENG DING, Linlin Liu, Lidong Bing, Canasai Kruengkrai, Thien Hai Nguyen, Shafiq Joty, Luo Si and Chunyan Miao	N/A	long
An Embedding Model for Estimating Legislative Preferences from the Frequency and Sentiment of Tweets	Gregory Spell, Brian Guay, Sunshine Hillygus and Lawrence Carin	N/A	long
An Empirical Investigation of Contextualized Number Prediction	Taylor Berg-Kirkpatrick and Daniel Spokoyny	N/A	long
An Empirical Investigation Towards Efficient Multi-Domain Language Model Pre-training	Kristjan Arumae, Qing Sun and Parminder Bhatia	https://arxiv.org/abs/2010.00784	long
An Empirical Study of Generation Order for Machine Translation	William Chan, Mitchell Stern, Jamie Kiros and Jakob Uszkoreit	https://arxiv.org/abs/1910.13437	long
An Empirical Study of Hyperbole	Li Kong, Chuanyi Li, Jidong Ge, Bin Luo and Vincent Ng	N/A	long
An Empirical Study on Large-Scale Multi-Label Text Classification including Few and Zero-Shot Labels	Ilias Chalkidis, Manos Fergadiotis, Sotiris Kotitsas, Prodromos Malakasiotis, Nikolaos Aletras and Ion Androutsopoulos	https://arxiv.org/abs/2010.01653	long
An Exploration of Arbitrary-Order Sequence Labeling via Energy-Based Inference Networks	Lifu Tu, Tianyu Liu and Kevin Gimpel	https://arxiv.org/abs/2010.02789	long
An Imitation Game for Learning Semantic Parsers from User Interaction	Ziyu Yao, Yiqi Tang, Wen-tau Yih, Huan Sun and Yu Su	https://arxiv.org/abs/2005.00689	long
An Information Bottleneck Approach for Controlling Conciseness in Rationale Extraction	Bhargavi Paranjape, Mandar Joshi, John Thickstun, Hannaneh Hajishirzi and Luke Zettlemoyer	https://arxiv.org/abs/2005.00652	long
An Unsupervised Joint System for Text Generation from Knowledge Graphs and Semantic Parsing	Martin Schmitt, Sahand Sharifzadeh, Volker Tresp and Hinrich Schütze	https://arxiv.org/abs/1904.09447	long
An Unsupervised Sentence Embedding Method by Mutual Information Maximization	Yan Zhang, Ruidan He, ZUOZHU LIU, Kwan Hui Lim and Lidong Bing	https://arxiv.org/abs/2009.12061	long
Analogous Process Structure Induction for Sub-event Sequence Prediction	Hongming Zhang, Muhao Chen, Haoyu Wang, Yangqiu Song and Dan Roth	https://arxiv.org/abs/1708.00065	long
Analyzing Individual Neurons in Pre-trained Language Models	Nadir Durrani, Hassan Sajjad, Fahim Dalvi and Yonatan Belinkov	https://arxiv.org/abs/2010.02695	long
Analyzing Redundancy in Pretrained Transformer Models	Fahim Dalvi, Hassan Sajjad, Nadir Durrani and Yonatan Belinkov	https://arxiv.org/abs/2004.04010	long
Annotating Temporal Dependency Graphs via Crowdsourcing	Jiarui Yao, Haoling Qiu, Bonan Min and Nianwen Xue	N/A	long
AnswerFact: Fact Checking in Product Question Answering	Wenxuan Zhang, Yang Deng, Jing Ma and Wai Lam	N/A	long
Are All Good Word Vector Spaces Isomorphic?	Ivan Vulić, Sebastian Ruder and Anders Søgaard	https://arxiv.org/abs/2004.04070	long
Argument Pair Extraction from Peer Review and Rebuttal via Multi-task Learning	Liying Cheng, Lidong Bing, Qian Yu, Wei Lu and Luo Si	N/A	long
Asking without Telling: Exploring Latent Ontologies in Contextual Representations	Julian Michael, Jan A. Botha and Ian Tenney	https://arxiv.org/abs/2004.14513	long
Aspect-Based Sentiment Analysis by Aspect-Sentiment Joint Embedding	Jiaxin Huang, Yu Meng, Fang Guo, Heng Ji and Jiawei Han	N/A	long
Assessing Phrasal Representation and Composition in Transformers	Lang Yu and Allyson Ettinger	https://arxiv.org/abs/2010.03763	long
Assessing the Helpfulness of Learning Materials with Inference-Based Learner-Like Agent	Yun-Hsuan Jen, Chieh-Yang Huang, MeiHua Chen, Ting-Hao Huang and Lun-Wei Ku	https://arxiv.org/abs/2010.02179	long
Attention Is All You Need for Chinese Word Segmentation	Sufeng Duan and Hai Zhao	https://arxiv.org/abs/1910.14537	long
Attention is Not Only a Weight: Analyzing Transformers with Vector Norms	Goro Kobayashi, Tatsuki Kuribayashi, Sho Yokoi and Kentaro Inui	http://arxiv.org/abs/2004.10102	long
AttnIO: Knowledge Graph Exploration with In-and-Out Attention Flow for Knowledge-Grounded Dialogue	Jaehun Jung, Bokyung Son and Sungwon Lyu	https://arxiv.org/abs/1911.02707	long
Augmented Natural Language for Generative Sequence Labeling	Ben Athiwaratkun, Cícero Nogueira dos Santos, Jason Krone and Bing Xiang	https://arxiv.org/abs/2009.13272	long
Authorship Attribution for Neural Text Generation	Adaku Uchendu, Thai Le, Kai Shu and Dongwon Lee	N/A	long
Automatic Extraction of Rules Governing Morphological Agreement	Aditi Chaudhary, Antonios Anastasopoulos, Adithya Pratapa, David R. Mortensen, Zaid Sheikh, Yulia Tsvetkov and Graham Neubig	https://arxiv.org/abs/2010.01160	long
Automatic Machine Translation Evaluation in Many Languages via Zero-Shot Paraphrasing	Brian Thompson and Matt Post	N/A	long
AutoQA: From Databases To Q&A Semantic Parsers With Only Synthetic Training Data	Silei Xu, Sina Semnani, Giovanni Campagna and Monica Lam	https://arxiv.org/abs/2010.04806	long
Autoregressive Knowledge Distillation through Imitation Learning	Alexander Lin, Jeremy Wohlwend, Howard Chen and Tao Lei	https://arxiv.org/abs/2009.07253	long
AxCell: Automatic Extraction of Results from Machine Learning Papers	Marcin Kardas, Piotr Czapla, Pontus Stenetorp, Sebastian Ruder, Sebastian Riedel, Ross Taylor and Robert Stojnic	https://arxiv.org/abs/2004.14356	long
Backpropagation-based Decoding for Unsupervised Counterfactual and Abductive Reasoning	Lianhui Qin, Vered Shwartz, Peter West, Chandra Bhagavatula, Jena D. Hwang, Ronan Le Bras, Antoine Bosselut and Yejin Choi	N/A	long
Be More with Less: Hypergraph Attention Networks for Inductive Text Classification	Kaize Ding, Jianling Wang, Jundong Li, Dingcheng Li and Huan Liu	https://arxiv.org/pdf/1901.08150	long
Benchmarking Meaning Representations in Neural Semantic Parsing	Jiaqi Guo, Qian Liu, Jian-Guang LOU, Zhenwen Li, Xueqing Liu, Tao Xie and Ting Liu	N/A	long
BERT Knows Punta Cana is not just beautiful, it's gorgeous: Ranking Scalar Adjectives with Contextualised Representations	Aina Garí Soler and Marianna Apidianaki	https://arxiv.org/abs/2010.02686	long
BERT-ATTACK: Adversarial Attack Against BERT Using BERT	linyang li, Ruotian Ma, Qipeng Guo, Xiangyang Xue and Xipeng Qiu	https://arxiv.org/abs/2004.09984	long
BERT-EMD: Many-to-Many Layer Mapping for BERT Compression with Earth Mover's Distance	jianquan li, Xiaokang Liu, Honghong Zhao, Ruifeng Xu, Min Yang and yaohong jin	https://arxiv.org/abs/2010.06133	long
BERT-enhanced Relational Sentence Ordering Network	Baiyun Cui, Yingming Li and Zhongfei Zhang	N/A	long
BERT-of-Theseus: Compressing BERT by Progressive Module Replacing	Canwen Xu, Wangchunshu Zhou, Tao Ge, Furu Wei and Ming Zhou	https://arxiv.org/abs/2002.02925	long
Better Highlighting: Creating Sub-Sentence Summary Highlights	Sangwoo Cho, Kaiqiang Song, Chen Li, Dong Yu, Hassan Foroosh and Fei Liu	N/A	long
Beyond Geolocation: Micro-Dialect Identification in Diaglossic and Code-Switched Environments	Muhammad Abdul-Mageed, Chiyu Zhang, AbdelRahim Elmadany and Lyle Ungar	N/A	long
Biomedical Event Extraction as Sequence Labeling	Alan Ramponi, Rob van der Goot, Rosario Lombardo and Barbara Plank	N/A	long
BiST: Bi-directional Spatio-Temporal Reasoning for Video-Grounded Dialogues	Hung Le, Doyen Sahoo, Nancy Chen and Steven C.H. Hoi	N/A	long
Blank Language Models	Tianxiao Shen, Victor Quach, Regina Barzilay and Tommi Jaakkola	https://arxiv.org/abs/2002.03079	long
BLEU might be Guilty but References are not Innocent	Markus Freitag, David Grangier and Isaac Caswell	https://arxiv.org/abs/2004.06063	long
Bridging linguistic typology and multilingual machine translation with multi-view language representations	Arturo Oncevay, Barry Haddow and Alexandra Birch	https://arxiv.org/abs/2004.14923	long
Bridging the Gap between Prior and Posterior Knowledge Selection for Knowledge-Grounded Dialogue Generation	Xiuyi Chen, Fandong Meng, Peng Li, Feilong Chen, Shuang Xu, Bo Xu and Jie Zhou	N/A	long
Calibrated Fine-Tuning for Pre-trained Language Models via Manifold Smoothing	Lingkai Kong, Haoming Jiang, Yuchen Zhuang, Jie Lyu, Tuo Zhao and Chao Zhang	N/A	long
Can Automatic Post-Editing Improve NMT?	Shamil Chollampatt, Raymond Hendy Susanto, Liling Tan and Ewa Szymanska	https://arxiv.org/abs/2009.14395	long
Can Emojis Convey Human Emotions? A Study to Understand the Association between Emojis and Emotions	Abu Awal Md Shoeb and Gerard de Melo	https://arxiv.org/abs/2005.00693	long
CancerEmo: A Dataset for Fine-Grained Emotion Detection	Tiberiu Sosea and Cornelia Caragea	N/A	long
CapWAP: Captioning with a Purpose	Adam Fisch, Kenton Lee, Ming-Wei Chang, Jonathan Clark and Regina Barzilay	N/A	long
Causal Inference of Script Knowledge	Noah Weber, Rachel Rudinger and Benjamin Van Durme	https://arxiv.org/abs/2004.01174	long
Chapter Captor: Text Segmentation in Novels	Charuta Pethe, Allen Kim and Steve Skiena	N/A	long
Character-level Representations Still Improve Semantic Parsing in the Age of BERT	Rik van Noord, Antonio Toral and Johan Bos	https://arxiv.org/pdf/2002.12327	long
CHARM: Inferring Personal Attributes from Conversations	Anna Tigunova, Andrew Yates, Paramita Mirza and Gerhard Weikum	https://arxiv.org/abs/1904.10887?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A+arxiv%252FQSXk+%2528ExcitingAds%2521+cs+updates+on+arXiv.org%2529	long
CheXbert: Combining Automatic Labelers and Expert Annotations for Accurate Radiology Report Labeling Using BERT	Akshay Smit, Saahil Jain, Pranav Rajpurkar, Anuj Pareek, Andrew Ng and Matthew Lungren	https://arxiv.org/abs/2004.09167	long
ChiTeSQL: A Large-Scale and Pragmatic Chinese Text-to-SQL Dataset	Lijie Wang, Ao Zhang, Kun Wu, Ke Sun, Zhenghua Li, Hua Wu, Min Zhang and Haifeng Wang	https://arxiv.org/abs/2006.06434	long
ChrEn: Cherokee-English Machine Translation for Endangered Language Revitalization	Shiyue Zhang, Benjamin Frey and Mohit Bansal	https://arxiv.org/abs/2010.04791	long
CLIRMatrix: A massively large collection of bilingual and multilingual datasets for Cross-Lingual Information Retrieval	Shuo Sun and Kevin Duh	N/A	long
Coarse-to-Fine Pre-training for Named Entity Recognition	Xue Mengge, Bowen Yu, Zhenyu Zhang, Tingwen Liu, Yue Zhang and Bin Wang	https://arxiv.org/abs/2002.08902	long
Coarse-to-Fine Query Focused Multi-Document Summarization	Yumo Xu and Mirella Lapata	https://arxiv.org/abs/2004.03027	long
CoDEx: A Comprehensive Knowledge Graph Completion Benchmark	Tara Safavi and Danai Koutra	https://arxiv.org/abs/2009.07810	long
Coding Textual Inputs Boosts the Accuracy of Neural Networks	Abdul Rafae Khan, Jia Xu and Weiwei Sun	N/A	long
COGS: A Compositional Generalization Challenge Based on Semantic Interpretation	Najoung Kim and Tal Linzen	https://arxiv.org/abs/2010.05465	long
Cold-start Active Learning through Self-Supervised Language Modeling	Michelle Yuan, Hsuan-Tien Lin and Jordan Boyd-Graber	N/A	long
Cold-start and Interpretability: Turning Regular Expressions into Trainable Recurrent Neural Networks	Chengyue Jiang, Yinggong Zhao, Shanbo Chu, Libin Shen and Kewei Tu	N/A	long
Collecting Entailment Data for Pretraining: New Protocols and Negative Results	Samuel R. Bowman, Jennimaria Palomaki, Livio Baldini Soares and Emily Pitler	https://arxiv.org/abs/2004.11997	long
Combining Self-Training and Self-Supervised Learning for Unsupervised Disfluency Detection	Shaolei Wang, Zhongyuan Wang, Wanxiang Che and Ting Liu	https://arxiv.org/abs/1908.05378	long
COMETA: A Corpus for Medical Entity Linking in the Social Media	Marco Basaldella, Fangyu Liu, Ehsan Shareghi and Nigel Collier	https://arxiv.org/abs/2010.03295	long
Comparative Evaluation of Label Agnostic Selection Bias in Multilingual Hate Speech Datasets	Nedjma Ousidhoum, Yangqiu Song and Dit-Yan Yeung	https://arxiv.org/pdf/2004.06465	long
Competence-Level Prediction and Resume-Job_Description Matching Using Context-Aware Transformer Models	Changmao Li, Elaine Fisher, Rebecca Thomas, Steve Pittard, Vicki Hertzberg and Jinho D. Choi	N/A	long
Compositional and Lexical Semantics in RoBERTa, BERT and DistilBERT: A Case Study on CoQA	Ieva Staliūnaitė and Ignacio Iacobacci	https://arxiv.org/abs/2009.08257	long
Compositional Demographic Word Embeddings	Charles Welch, Jonathan K. Kummerfeld, Verónica Pérez-Rosas and Rada Mihalcea	https://arxiv.org/abs/2010.02986	long
Compositional Phrase Alignment and Beyond	Yuki Arase and Jun'ichi Tsujii	N/A	long
Compressive Summarization with Plausibility and Salience Modeling	Shrey Desai, Jiacheng Xu and Greg Durrett	http://arxiv.org/abs/2010.07886	long
Conditional Causal Relationships between Emotions and Causes in Texts	Xinhong Chen, Qing Li and Jianping Wang	N/A	long
Condolences and Empathy in Online Communities	Naitian Zhou and David Jurgens	N/A	long
ConjNLI: Natural Language Inference Over Conjunctive Sentences	Swarnadeep Saha, Yixin Nie and Mohit Bansal	N/A	long
Connecting the Dots: Event Graph Schema Induction with Path Language Modeling	Manling Li, Qi Zeng, Ying Lin, Kyunghyun Cho, Heng Ji, Jonathan May, Nathanael Chambers and Clare Voss	N/A	long
Consistency of a Recurrent Language Model With Respect to Incomplete Decoding	Sean Welleck, Ilia Kulikov, Jaedeok Kim, Richard Yuanzhe Pang and Kyunghyun Cho	https://arxiv.org/abs/2002.02492	long
Constrained Iterative Labeling for Open Information Extraction	Keshav Kolluru, Vaibhav Adlakha, Samarth Aggarwal, Mausam - and Soumen Chakrabarti	https://arxiv.org/abs/2010.03147	long
Content Planning for Neural Story Generation with Aristotelian Rescoring	Seraphina Goldfarb-Tarrant, Tuhin Chakrabarty, Ralph Weischedel and Nanyun Peng	https://arxiv.org/abs/2009.09870	long
Context-Aware Answer Extraction in Question Answering	Yeon Seonwoo, Ji-Hoon Kim, Jung-Woo Ha and Alice Oh	N/A	long
Continuity of Topic, Interaction, and Query: Learning to Quote in Online Conversations	Lingzhi Wang, Jing Li, Xingshan Zeng, Haisong Zhang and Kam-Fai Wong	N/A	long
Contrastive Distillation on Intermediate Representations for Language Model Compression	Siqi Sun, Zhe Gan, Yuwei Fang, Yu Cheng, Shuohang Wang and Jingjing Liu	https://arxiv.org/abs/2009.14167	long
Controllable Meaning Representation to Text Generation: Linearization and Data Augmentation Strategies	Chris Kedzie and Kathleen McKeown	https://arxiv.org/abs/1910.03487	long
Controllable Story Generation with External Knowledge Using Large-Scale Language Models	Peng Xu, Mostofa Patwary, Mohammad Shoeybi, Raul Puri, Pascale Fung, Anima Anandkumar and Bryan Catanzaro	https://arxiv.org/abs/2010.00840	long
Conundrums in Entity Reference Resolution	Jing Lu and Vincent Ng	N/A	long
Conversational Semantic Parsing	Armen Aghajanyan, Jean Maillard, Akshat Shrivastava, Keith Diedrick, Michael Haeger, Haoran Li, Yashar Mehdad, Veselin Stoyanov, Anuj Kumar, Mike Lewis and Sonal Gupta	http://arxiv.org/abs/2009.13655	long
Conversational Semantic Parsing for Dialog State Tracking	Jianpeng Cheng, Devang Agrawal, Héctor Martínez Alonso, Shruti Bhargava, Joris Driesen, Federico Flego, Dain Kaplan, Dimitri Kartsaklis, Lin Li, Dhivya Piraviperumal, Jason D Williams, Hong Yu, Diarmuid Ó Séaghdha and Anders Johannsen	N/A	long
Convolution over Hierarchical Syntactic and Lexical Graphs for Aspect Level Sentiment Analysis	Mi Zhang and Tieyun Qian	N/A	long
Coreferential Reasoning Learning for Language Representation	Deming Ye, Yankai Lin, Jiaju Du, Zhenghao Liu, Peng Li, Maosong Sun and Zhiyuan Liu	https://arxiv.org/abs/2004.06870	long
Counterfactual Generator: A Weakly-Supervised Method for Named Entity Recognition	Xiangji Zeng, Yunliang Li, Yuchen Zhai and Yin Zhang	N/A	long
Counterfactual Off-Policy Training for Neural Dialogue Generation	Qingfu Zhu, Wei-Nan Zhang, Ting Liu and William Yang Wang	https://arxiv.org/abs/2004.14507	long
Cross Copy Network for Dialogue Generation	Changzhen Ji, Xin Zhou, Yating Zhang, Xiaozhong Liu, Changlong Sun, Conghui Zhu and Tiejun Zhao	N/A	long
Cross-lingual Spoken Language Understanding with Regularized Representation Alignment	Zihan Liu, Genta Indra Winata, Peng Xu, Zhaojiang Lin and Pascale Fung	https://arxiv.org/abs/2009.14510	long
Cross-Media Keyphrase Prediction: A Unified Framework with Multi-Modality Multi-Head Attention and Image Wordings	Yue Wang, Jing Li, Michael Lyu and Irwin King	N/A	long
Cross-Thought for Sentence Encoder Pre-training	Shuohang Wang, Yuwei Fang, Siqi Sun, Zhe Gan, Yu Cheng, Jingjing Liu and Jing Jiang	https://arxiv.org/abs/2010.03652	long
CrowS-Pairs: A Challenge Dataset for Measuring Social Biases in Masked Language Models	Nikita Nangia, Clara Vania, Rasika Bhalerao and Samuel R. Bowman	https://arxiv.org/abs/2010.00133	long
CSP: Code-Switching Pre-training for Neural Machine Translation	Zhen Yang, Bojie Hu, ambyera han, shen huang and Qi Ju	https://arxiv.org/abs/2009.08088	long
DagoBERT: Generating Derivational Morphology with a Pretrained Language Model	Valentin Hofmann, Janet Pierrehumbert and Hinrich Schütze	https://arxiv.org/abs/2005.00672	long
Data and Representation for Turkish Natural Language Inference	Emrah Budur, Rıza Özçelik, Tunga Gungor and Christopher Potts	N/A	long
Data Boost: Text Data Augmentation Through Reinforcement Learning Guided Conditional Generation	Ruibo Liu, Guangxuan Xu, Chenyan Jia, Weicheng Ma, Lili Wang and Soroush Vosoughi	N/A	long
Data Rejuvenation: Exploiting Inactive Training Examples for Neural Machine Translation	Wenxiang Jiao, Xing Wang, Shilin He, Irwin King, Michael Lyu and Zhaopeng Tu	https://arxiv.org/abs/2010.02552	long
Dataset Cartography: Mapping and Diagnosing Datasets with Training Dynamics	Swabha Swayamdipta, Roy Schwartz, Nicholas Lourie, Yizhong Wang, Hannaneh Hajishirzi, Noah A. Smith and Yejin Choi	https://arxiv.org/abs/2009.10795	long
De-biased Court’s View Generation with Causality	Yiquan Wu, Kun Kuang, Yating Zhang, Xiaozhong Liu, Changlong Sun, Jun Xiao, Yueting Zhuang, Luo Si and Fei Wu	N/A	long
Debiasing knowledge graph embeddings	Joseph Fisher, Arpit Mittal, Dave Palfrey and Christos Christodoulopoulos	https://arxiv.org/abs/2006.16309	long
Deep Attentive Stock Forecasting factoring Social Media Linguistics and Company Correlations	Ramit Sawhney, Shivam Agarwal, Arnav Wadhwa and Rajiv Ratn Shah	https://arxiv.org/pdf/2003.01859	long
Deep Weighted MaxSAT for Aspect-based Opinion Extraction	Meixi Wu, Wenya Wang and Sinno Jialin Pan	N/A	long
Dense Passage Retrieval for Open-Domain Question Answering	Vladimir Karpukhin, Barlas Oguz, Sewon Min, Patrick Lewis, Ledell Wu, Sergey Edunov, Danqi Chen and Wen-tau Yih	https://arxiv.org/abs/2004.04906	long
Design Challenges in Low-resource Cross-lingual Entity Linking	Xingyu Fu, Weijia Shi, Xiaodong Yu, Zian Zhao and Dan Roth	https://arxiv.org/abs/2005.00692	long
Detecting Attackable Sentences in Arguments	Yohan Jo, Seojin Bang, Emaad Manzoor, Eduard Hovy and Chris Reed	https://arxiv.org/abs/2010.02660	long
Detecting Cross-Modal Inconsistency to Defend Against Neural Fake News	Reuben Tan, Bryan Plummer and Kate Saenko	https://arxiv.org/abs/2009.07698	long
Detecting Fine-Grained Cross-Lingual Semantic Divergences without Supervision by Learning To Rank	Eleftheria Briakou and Marine Carpuat	https://arxiv.org/abs/2010.03662	long
Dialogue Distillation: Open-domain Dialogue Augmentation Using Unpaired Data	Rongsheng Zhang, Yinhe Zheng, Jianzhi Shao, Xiao-Xi Mao, Yadong Xi and Minlie Huang	https://arxiv.org/abs/2009.09427	long
Dialogue Response Ranking Training with Large-Scale Human Feedback Data	Xiang Gao, Yizhe Zhang, Michel Galley, Chris Brockett and Bill Dolan	https://arxiv.org/abs/2009.06978	long
Digital Voicing of Silent Speech	David Gaddy and Dan Klein	https://arxiv.org/abs/2010.02960	long
Direct Segmentation Models for Streaming Speech Translation	Javier Iranzo-Sánchez, Adrià Giménez Pastor, Joan Albert Silvestre-Cerdà, Pau Baquero-Arnal, Jorge Civera Saiz and Alfons Juan	N/A	long
Discern: Discourse-Aware Entailment Reasoning Network for Conversational Machine Reading	Yifan Gao, Chien-Sheng Wu, Jingjing Li, Shafiq Joty, Steven C.H. Hoi, Caiming Xiong, Irwin King and Michael Lyu	https://arxiv.org/abs/2010.01838	long
Discontinuous Constituent Parsing as Sequence Labeling	David Vilares and Carlos Gómez-Rodríguez	https://arxiv.org/abs/2010.00633	long
Discourse Self-Attention for Discourse Element Identification in Argumentative Student Essays	Wei Song, Ziyao Song, Ruiji Fu, Lizhen Liu, Miaomiao Cheng and Ting Liu	N/A	long
Discriminative Nearest Neighbor Few-Shot Intent Detection by Transferring Natural Language Inference	Jianguo Zhang, Kazuma Hashimoto, Wenhao Liu, Chien-Sheng Wu, Yao Wan, Philip Yu, Richard Socher and Caiming Xiong	https://arxiv.org/abs/1911.04623	long
Discriminatively-Tuned Generative Classifiers for Robust Natural Language Inference	Xiaoan Ding, Tianyu Liu, Baobao Chang, Zhifang Sui and Kevin Gimpel	https://arxiv.org/abs/2010.03760	long
Disentangle-based Continual Graph Representation Learning	Xiaoyu Kou, Yankai Lin, Shaobo Liu, Peng Li, Jie Zhou and Yan Zhang	https://arxiv.org/abs/2010.02565	long
Dissecting Span Identification Tasks with Performance Prediction	Sean Papay, Roman Klinger and Sebastian Padó	http://arxiv.org/abs/2010.02587	long
Distilling Multiple Domains for Neural Machine Translation	Anna Currey, Prashant Mathur and Georgiana Dinu	https://arxiv.org/abs/2004.07324	long
Diverse, Controllable, and Keyphrase-Aware: A Corpus and Method for News Multi-Headline Generation	Dayiheng Liu, Yeyun Gong, Yu Yan, Jie Fu, Bo Shao, Daxin Jiang, Jiancheng Lv and Nan Duan	https://arxiv.org/abs/2004.03875	long
